mode;n_samples;t_model_inference_avg;batch_size;t_postprocess;t_loss_calc;t_global
TFTRT_FP16;7;0,00662;1;0,25254;0,01985;19,63509
TFTRT_FP16;7;0,00693;1;0,25297;0,01996;2,07206
TFTRT_FP16;7;0,0168;1;0,02729;0,03463;0,70315
TFTRT_FP32;7;0,00675;1;0,27574;0,02704;34,2684
TFTRT_FP32;7;0,00723;1;0,27427;0,01921;2,18009
TFTRT_FP32;7;0,01662;1;0,055;0,0306;0,69958
Checkpoint;7;0,13729;1;0,24413;0,0196;39,64398
Checkpoint;7;0,13622;1;0,24629;0,02083;2,87231
Checkpoint;7;0,13498;1;0,0072;0,01947;1,20225
TFTRT_FP16_1GB;7;0,00909;1;0,26279;0,03059;14,43975
TFTRT_FP16_1GB;7;0,0065;1;0,25622;0,02059;2,05858
TFTRT_FP16_1GB;7;0,01611;1;0,02702;0,04132;0,63763
TF_FP32;7;0,01581;1;0,30898;0,02061;14,17723
TF_FP32;7;0,01721;1;0,32014;0,01932;2,57105
TF_FP32;7;0,02966;1;0,052;0,03167;0,88415
